farmer_id,name,mobile,aadhar,state,district,village,latitude,longitude,land_area,crop_type,last_year_yield_est,ndvi_mean,ndvi_trend,rainfall_anomaly_3mo,past_kcc_defaults,upi_txn_freq,market_price_volatility,fpo_membership_flag,distance_to_mandi_km,consent_given,created_at
FRM000001,Farmer 1,+915140958092,2899 8734 2267,Maharashtra,District 3,Village 51,15.846174,81.385984,9.53,cotton,38.72,0.629,-0.103,-34.4,0,23,13.3,0,33.2,True,2025-07-13T12:54:34.451779
FRM000002,Farmer 2,+910317315593,8989 7873 6675,Punjab,District 2,Village 74,27.497924,74.25374,1.12,rice,5.39,0.831,0.093,-19.5,0,19,11.0,1,31.3,True,2025-02-28T12:54:34.452186
FRM000003,Farmer 3,+917720722049,7184 4099 7278,Maharashtra,District 9,Village 72,29.803304,82.039182,0.93,cotton,2.45,0.514,-0.069,32.9,0,44,8.5,1,5.6,True,2025-03-02T12:54:34.452561
FRM000004,Farmer 4,+916899260334,8574 7374 7892,Punjab,District 15,Village 43,25.825943,75.067804,1.1,wheat,2.86,0.479,0.069,13.8,0,0,14.6,1,42.7,True,2025-10-27T12:54:34.452911
FRM000005,Farmer 5,+916860088382,8526 9901 6575,Karnataka,District 9,Village 62,28.249204,76.216485,1.23,maize,3.1,0.389,0.129,30.8,0,5,16.4,0,22.0,True,2025-06-13T12:54:34.453261
FRM000006,Farmer 6,+917001156400,6249 6172 2707,Uttar Pradesh,District 6,Village 32,25.684059,73.92513,3.06,rice,7.2,0.393,-0.084,5.8,0,48,11.3,0,35.4,True,2025-03-23T12:54:34.453631
FRM000007,Farmer 7,+913292236380,2959 6759 7694,Uttar Pradesh,District 18,Village 1,25.437192,83.158664,4.01,maize,9.42,0.742,-0.009,48.3,0,47,25.0,0,26.4,True,2025-03-03T12:54:34.453974
FRM000008,Farmer 8,+918822237570,2648 6539 5199,Punjab,District 3,Village 89,28.506271,80.230319,1.58,maize,7.47,0.783,-0.073,16.0,0,48,11.0,0,45.1,True,2025-08-18T12:54:34.454312
FRM000009,Farmer 9,+910025655525,6895 4354 1225,Karnataka,District 1,Village 28,24.744493,83.039904,3.2,rice,8.21,0.567,-0.015,49.4,0,3,10.9,0,37.8,True,2025-01-12T12:54:34.454671
FRM000010,Farmer 10,+912034602189,6854 7709 1569,Uttar Pradesh,District 3,Village 46,21.422762,84.566513,5.93,maize,24.86,0.324,0.148,-3.0,0,5,14.3,0,46.6,True,2025-02-18T12:54:34.455010
FRM000011,Farmer 11,+919683307261,6919 1853 5146,Haryana,District 17,Village 52,28.006085,83.872127,2.91,wheat,7.38,0.477,0.105,-36.3,0,38,12.3,1,40.9,True,2025-06-08T12:54:34.455702
FRM000012,Farmer 12,+911920729694,9308 6949 3838,Uttar Pradesh,District 9,Village 12,17.075296,73.72569,1.71,wheat,5.68,0.723,-0.085,12.3,0,44,9.9,0,35.6,True,2025-07-19T12:54:34.456360
FRM000013,Farmer 13,+919245840349,7617 3479 7484,Haryana,District 7,Village 33,25.95059,72.62031,1.99,wheat,4.72,0.602,0.064,16.0,0,15,17.9,1,22.9,True,2025-03-16T12:54:34.456760
FRM000014,Farmer 14,+910371200242,6536 4913 2066,Karnataka,District 12,Village 29,16.058531,80.351451,4.29,wheat,15.67,0.649,-0.136,-12.5,0,31,26.4,1,9.8,True,2025-11-13T12:54:34.457138
FRM000015,Farmer 15,+917384839487,3786 2122 5079,Haryana,District 4,Village 82,20.225049,84.176426,0.87,cotton,3.19,0.485,0.047,-11.5,0,33,11.5,0,35.3,True,2025-08-21T12:54:34.457505
FRM000016,Farmer 16,+918286329442,5491 8192 6588,Karnataka,District 4,Village 53,20.838025,72.140889,2.77,maize,10.73,0.707,-0.079,-12.2,0,19,25.7,0,45.0,True,2025-06-27T12:54:34.457883
FRM000017,Farmer 17,+915679819144,6541 2365 9691,Punjab,District 17,Village 71,26.422659,80.036835,1.58,maize,7.51,0.836,0.149,-44.4,0,28,13.8,0,8.9,True,2025-04-22T12:54:34.458262
FRM000018,Farmer 18,+917860280870,6029 1133 3105,Maharashtra,District 12,Village 45,22.02991,72.731943,3.83,rice,15.23,0.565,-0.037,20.5,0,18,7.8,0,2.5,True,2025-06-18T12:54:34.458597
FRM000019,Farmer 19,+912689757479,7819 4719 3745,Karnataka,District 18,Village 28,29.937471,81.060026,3.57,rice,5.89,0.809,0.126,-24.7,0,17,9.2,0,16.1,True,2025-04-19T12:54:34.458948
FRM000020,Farmer 20,+918197146705,3193 9415 8449,Punjab,District 17,Village 77,29.246999,81.434354,2.97,rice,9.16,0.318,-0.066,-8.9,0,47,9.1,1,41.5,True,2025-08-19T12:54:34.459265
FRM000021,Farmer 21,+918023007176,1249 9865 1770,Uttar Pradesh,District 18,Village 12,27.744711,75.215525,1.77,rice,2.74,0.341,0.058,3.4,0,2,18.9,1,47.3,True,2025-10-02T12:54:34.459585
FRM000022,Farmer 22,+911121385076,4177 8730 3180,Karnataka,District 4,Village 10,15.21817,76.557638,1.34,maize,5.72,0.624,-0.006,-7.9,0,13,22.6,0,8.5,True,2025-05-25T12:54:34.459886
FRM000023,Farmer 23,+915737378221,7777 8570 8956,Haryana,District 5,Village 82,16.920688,73.974735,7.8,rice,13.52,0.325,0.036,-15.3,0,42,11.0,0,8.2,True,2025-08-25T12:54:34.460208
FRM000024,Farmer 24,+910930702375,9717 9150 3125,Karnataka,District 2,Village 26,24.418506,73.062867,0.8,wheat,2.74,0.594,-0.043,39.4,0,25,22.3,0,40.4,True,2025-11-11T12:54:34.460510
FRM000025,Farmer 25,+910659803839,9258 1232 7371,Uttar Pradesh,District 15,Village 86,17.734258,79.331546,7.28,cotton,33.72,0.581,0.01,-39.3,0,34,14.9,0,37.4,True,2025-10-22T12:54:34.460814
FRM000026,Farmer 26,+913768622743,6342 1005 8489,Punjab,District 11,Village 4,18.379992,76.749639,5.86,cotton,16.57,0.486,0.12,10.8,0,44,13.3,1,2.4,True,2024-12-25T12:54:34.461121
FRM000027,Farmer 27,+910095432051,1009 1260 7038,Punjab,District 10,Village 44,21.381547,78.598935,5.16,wheat,20.8,0.751,0.066,3.5,0,44,24.2,0,17.5,True,2025-11-12T12:54:34.461431
FRM000028,Farmer 28,+917812207578,7413 7941 5820,Haryana,District 5,Village 5,29.475404,73.615864,1.33,maize,2.65,0.301,-0.115,-2.7,0,34,13.7,1,41.9,True,2024-12-21T12:54:34.461745
